Fecha,NO
2020-03-05,26.869565217391305
2020-03-06,25.91111111111111
2020-03-07,31.304347826086953
2020-03-08,27.9375
2020-03-09,20.967741935483872
2020-03-10,29.21428571428571
2020-03-11,27.9375
2020-03-12,38.61538461538461
2020-03-13,49.88461538461538
2020-03-14,14.636363636363637
2020-03-15,8.052631578947368
2020-03-16,10.875
2020-03-17,13.447368421052632
2020-03-18,11.441860465116278
2020-03-19,11.687499999999998
2020-03-20,10.543478260869566
2020-03-21,9.576923076923077
2020-03-22,9.777777777777777
2020-03-23,8.419354838709678
2020-03-24,8.65625
2020-03-25,9.000000000000002
2020-03-26,8.6875
2020-03-27,7.181818181818182
2020-03-28,8.48
2020-03-29,7.541666666666666
2020-03-30,6.631578947368421
2020-03-31,5.0
2020-04-02,5.4375
2020-04-03,4.886363636363637
2020-04-04,4.354166666666667
2020-04-05,3.869565217391304
2020-04-06,3.761904761904762
2020-04-07,3.4444444444444446
2020-04-08,5.0
2020-04-09,4.804347826086956
2020-04-10,4.645833333333333
2020-04-11,3.6875
2020-04-12,3.875
2020-04-13,3.630434782608696
2020-04-14,4.4
2020-04-15,4.934782608695652
2020-04-16,4.729166666666667
2020-04-17,5.104166666666667
2020-04-18,5.0625
2020-04-19,5.104166666666667
2020-04-20,5.666666666666667
2020-04-21,5.291666666666667
2020-04-22,4.520833333333333
2020-04-23,5.770833333333334
2020-04-24,6.239130434782608
2020-04-25,6.083333333333333
2020-04-26,6.625
2020-04-27,6.541666666666667
2020-04-28,7.0625
2020-04-29,6.604166666666667
2020-04-30,6.645833333333333
2020-05-02,7.124999999999999
2020-05-03,8.229166666666668
2020-05-04,7.770833333333334
2020-05-05,6.708333333333334
2020-05-06,6.9565217391304355
2020-05-07,5.729166666666667
2020-05-08,67.88095238095238
2020-05-09,36.68181818181819
2020-05-10,26.46153846153846
2020-05-11,17.885714285714286
2020-05-12,14.805555555555555
2020-05-13,13.891891891891891
2020-05-14,13.0
2020-05-15,12.617647058823529
2020-05-16,10.903225806451612
2020-05-17,11.407407407407408
2020-05-18,8.69047619047619
2020-05-19,5.687500000000001
2020-05-20,5.0
2020-05-21,4.1875
2020-05-22,3.7631578947368425
2020-05-23,3.8249999999999997
2020-05-24,3.5641025641025648
2020-05-25,4.809523809523809
2020-05-26,6.062499999999999
2020-05-27,6.145833333333333
2020-05-28,2.7222222222222223
2020-06-04,64.42857142857143
2020-06-05,29.529411764705884
2020-06-06,12.631578947368421
2020-06-07,9.424242424242424
2020-06-08,10.675675675675675
2020-06-09,10.195121951219512
2020-06-10,4.630434782608696
2020-06-11,2.825
2020-06-12,4.0
2020-06-13,5.645833333333333
2020-06-14,6.065217391304349
2020-06-15,4.770833333333334
2020-06-16,4.583333333333333
2020-06-17,52.75757575757576
2020-06-18,19.0
2020-06-19,13.16
2020-06-20,6.173913043478261
2020-06-21,1.8666666666666667
2020-06-22,6.960000000000001
2020-06-23,9.242424242424242
2020-06-24,13.129032258064514
2020-06-25,5.9393939393939394
2020-06-26,7.63157894736842
2020-06-27,6.2105263157894735
2020-06-28,3.225806451612903
2020-06-29,5.888888888888888
2020-06-30,1.0
2020-07-03,1.0
2020-07-09,14.785714285714288
2020-07-10,3.833333333333333
2020-07-11,2.7333333333333334
2020-07-12,1.4285714285714286
2020-07-13,3.066666666666667
2020-07-14,3.8666666666666667
2020-07-15,3.7291666666666665
2020-07-16,3.676470588235294
2020-07-17,2.2272727272727275
2020-07-18,3.4000000000000004
2020-07-19,2.9375
2020-07-20,74.03125
2020-07-21,29.944444444444446
2020-07-22,11.4
2020-07-23,7.75
2020-07-24,4.0740740740740735
2020-07-25,3.9583333333333335
2020-07-26,3.7916666666666665
2020-07-27,70.61904761904762
2020-07-28,25.531250000000004
2020-07-29,7.085714285714285
2020-07-30,4.111111111111111
2020-07-31,4.548387096774194
2020-08-03,3.75
2020-08-04,3.5
2020-08-05,15.821428571428573
2020-08-06,3.5526315789473686
2020-08-07,2.85
2020-09-18,3.692307692307692
2020-09-19,3.045454545454546
2020-09-20,2.4761904761904763
2020-09-21,3.1578947368421053
2020-09-22,3.0000000000000004
2020-10-14,199.21428571428572
2020-10-19,4.625
2020-10-21,44.7037037037037
2020-10-22,45.391304347826086
2020-10-23,36.229166666666664
2020-10-24,49.29166666666667
2020-10-25,49.49999999999999
2020-10-26,49.5
2021-05-03,2.7187500000000004
2021-05-04,4.475
2021-05-05,5.586956521739131
2021-05-06,5.354166666666667
2021-05-07,5.404761904761905
2021-05-08,4.708333333333333
2021-05-09,5.354166666666667
2021-05-10,5.229166666666667
2021-05-11,5.113636363636363
2021-05-12,5.525
2021-05-13,4.479166666666667
2021-05-14,4.309523809523809
2021-05-15,4.875
2021-05-16,6.062499999999999
