O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg,Year,Month,Day,Hour,Minute
31.61,OK,3.12,OK,0.2,BDL,0.3,OK,2.0,BDL,11.2,OK,18.09,88.8,1.193,1.526,255.7,1.954,0.1,804.146,,2023,10,3,19,45
40.73,OK,4.21,OK,0.2,BDL,0.33,OK,42.32,OK,25.16,OK,14.99,60.34,3.517,4.495,79.1,8.47,0.1,806.05,31.9,2024,1,21,17,9
17.08,OK,2.37,OK,0.2,BDL,0.06,OK,10.33,OK,12.68,OK,17.3,90.8,0.0,0.0,0.0,0.0,0.2,806.819,,2023,7,9,0,53
25.73,OK,1.28,OK,0.2,BDL,0.5,OK,34.04,OK,13.01,OK,15.6,71.56,2.022,2.386,166.0,15.84,0.1,803.962,37.8,2024,2,16,16,36
40.17,OK,1.89,OK,0.2,BDL,0.1,OK,34.25,OK,26.45,OK,17.06,90.3,2.541,3.512,182.7,10.24,0.1,806.667,63.39,2023,7,23,14,33
44.43,OK,4.84,OK,0.2,BDL,0.27,OK,24.77,OK,25.69,OK,20.88,75.56,2.468,3.338,204.2,16.67,0.1,806.015,2.582,2023,8,9,19,32
26.43,OK,1.87,OK,0.2,BDL,0.32,OK,23.2,OK,26.78,OK,15.28,97.6,0.558,0.891,235.6,19.59,0.1,805.567,,2023,8,29,4,27
26.56,OK,10.14,OK,0.2,BDL,0.37,OK,8.34,OK,2.0,BDL,16.59,89.3,1.205,1.608,51.77,3.927,0.1,806.336,,2023,6,26,21,0
18.85,OK,2.46,OK,0.2,BDL,0.08,OK,12.92,OK,7.39,OK,16.62,93.4,1.58,1.823,121.8,7.903,0.1,806.825,,2023,7,9,1,4
43.26,OK,2.39,OK,0.2,BDL,0.2,OK,15.28,OK,18.74,OK,14.36,96.1,3.852,4.403,280.7,2.753,0.1,808.988,,2023,9,1,23,22
22.7,OK,0.57,OK,0.2,BDL,0.19,OK,12.5,OK,2.0,BDL,16.89,86.9,0.244,0.768,334.9,0.247,0.1,802.459,0.415,2023,10,9,19,1
29.89,OK,1.04,OK,0.2,BDL,0.13,OK,27.61,OK,14.63,OK,16.2,87.3,4.004,4.618,154.9,5.681,0.5,804.96,19.45,2023,7,1,16,46
24.55,OK,0.41,OK,0.2,BDL,0.19,OK,19.28,OK,10.02,OK,17.61,81.3,0.898,1.208,107.6,14.11,0.1,802.295,,2023,10,9,18,49
32.93,OK,7.84,OK,0.2,BDL,0.06,OK,18.01,OK,15.26,OK,14.74,98.5,1.541,1.792,27.8,3.402,0.1,808.998,0.23,2023,7,18,2,21
32.78,OK,3.47,OK,0.2,BDL,0.34,OK,36.52,OK,39.88,OK,16.05,96.7,1.507,1.679,129.1,4.532,0.1,803.649,109.8,2023,10,25,16,0
9.03,OK,19.77,OK,4.89,OK,0.52,OK,22.18,OR,15.99,OR,9.95,96.2,0.0,0.0,0.0,0.0,0.1,807.594,57.62,2023,12,26,10,2
52.49,OK,1.52,OK,0.2,BDL,0.37,OK,52.68,OK,35.61,OK,20.6,43.83,2.833,4.557,219.8,13.01,0.1,808.045,185.4,2023,5,9,9,15
34.3,OK,2.74,OK,0.2,BDL,0.23,OK,10.9,OK,13.35,OK,10.3,87.9,0.944,1.567,170.6,64.95,0.1,807.621,108.7,2023,12,26,10,35
27.18,OK,2.78,OK,0.2,BDL,0.34,OK,13.91,OK,10.59,OK,16.06,95.5,1.958,2.202,108.2,3.879,0.1,810.226,,2023,7,25,22,38
32.18,OK,4.58,OK,0.2,BDL,0.14,OK,16.4,OK,8.57,OK,16.25,90.8,1.881,2.109,293.1,7.665,0.1,807.882,,2023,7,22,22,37
36.74,OK,2.62,OK,0.2,BDL,0.05,OK,19.61,OK,18.24,OK,16.7,81.4,0.009,0.051,167.3,0.0,0.1,809.633,,2023,7,20,0,39
